epoch,train_loss,train_acc,val_loss,val_acc
1,1.0754420233149804,56.531114367069364,0.9601752222913792,61.01655397528562
2,0.8662739512352013,64.58822878942858,0.80366907005638,66.75215667987877
3,0.7855282958855623,67.70795897492604,0.7385225341998068,69.89974352996036
4,0.7336532125057557,69.93061122936997,0.741529813818772,70.29610631848915
5,0.6899019678884089,71.78835042711414,0.702748145755782,72.3478666355794
6,0.6538610820358225,73.32540845381915,0.6862633505275259,72.16134297038937
7,0.6190810552882653,74.92604981616122,0.6633214524022708,73.65353229190954
8,0.5813568002655146,76.44375639288972,0.6716677321044929,73.74679412450455
9,0.5435525292052019,78.03610427667044,0.7149564816052143,71.06551643739799
10,0.5067224292490715,79.46120034279711,0.6879285049648977,73.79342504080205
